word,polarity
과열/NNG,1.0
건전/NNG,0.9915582233134916
과열/NNG@$대한/VV,0.9782722730546245
과열/NNG@$조짐/NNG,0.9765640025545521
과열/NNG@$우려/NNG,0.9753529325819428
과열/NNG@$양상/NNG,0.9741215899846964
단기/NNG@$과열/NNG,0.97292648359915
시장/NNG@$과열/NNG,0.9709516116310446
경제/NNG@$과열/NNG,0.9705921798855999
과열/NNG@$현상/NNG,0.9689199314388182
개선/NNG,0.9672148956244155
과열/NNG@$양상/NNG@$보이/VV,0.9671129754080154
과열/NNG@$막/VV,0.9662563016431407
투자/NNG@$과열/NNG,0.9653639443297959
증시/NNG@$과열/NNG,0.955904907030048
경기/NNG@$과열/NNG,0.9529219923370178
주택시장/NNG@$과열/NNG,0.9487769864437565
회복/NNG,0.9416830135096985
경기과열/NNG,0.9415159316067145
과열/NNG@$억제/NNG,0.9403206758694813
식히/VV,0.9378655624359855
부동산/NNG@$과열/NNG,0.9263974009822491
호황/NNG,0.9177985233370243
부동산시장/NNG@$과열/NNG,0.9141623640417262
과열/NNG@$경쟁/NNG,0.9076261479912038
개선/NNG@$했/VV,0.9063233783545697
개선/NNG@$밝혔/VV,0.9037562601206206
있/VV@$개선/NNG,0.9007706556993678
개선/NNG@$필요/NNG,0.898765495925465
개선/NNG@$기여/NNG,0.8977871926462055
개선/NNG@$정부/NNG,0.8963682680808909
개선/NNG@$정책/NNG,0.896198019380883
개선/NNG@$상황/NNG,0.8943831187063664
개선/NNG@$가능/NNG,0.8937877083622536
개선/NNG@$있/VV,0.8919172084313485
개선/NNG@$금융/NNG,0.8909180063553686
성장/NNG,0.8898147142105486
개선/NNG@$경우/NNG,0.8892837529305568
개선/NNG@$올해/NNG,0.8889392549008786
경기과열/NNG@$막/VV,0.8884735577739411
더/MAG@$개선/NNG,0.8868087359305967
부분/NNG@$개선/NNG,0.8861768624644686
상황/NNG@$개선/NNG,0.8839018502028668
투자/NNG@$억제/NNG,0.8821541075472079
빠르/VA@$개선/NNG,0.8820486561508416
개선/NNG@$효과/NNG,0.8816209893573459
양상/NNG@$보이/VV,0.8811440788818192
개선/NNG@$긍정적/NNG,0.8808188161526556
개선/NNG@$확인/NNG,0.8795137075630459
개선/NNG@$발표/NNG,0.8787162195974945
지속적/NNG@$개선/NNG,0.8783911809420821
개선/NNG@$투자/NNG,0.8778902668981541
개선/NNG@$나타나/VV,0.8772354256488444
유동성/NNG@$개선/NNG,0.8768650301204475
개선/NNG@$가운데/NNG,0.8767453458186536
점차/MAG@$개선/NNG,0.8744605922309492
개선/NNG@$위한/VV,0.8737932794428762
꾸준히/MAG@$개선/NNG,0.8737838143227563
